Date,Trimestre,Retorno
20/10/2016,20161001,-0.001375724
21/10/2016,20161001,-8.41417E-05
24/10/2016,20161001,0.00474984
25/10/2016,20161001,-0.003797728
26/10/2016,20161001,-0.001740411
27/10/2016,20161001,-0.002986727
28/10/2016,20161001,-0.003108299
31/10/2016,20161001,-0.000122277
1/11/2016,20161001,-0.006786883
2/11/2016,20161001,-0.006525501
3/11/2016,20161001,-0.004423401
4/11/2016,20161001,-0.001666131
7/11/2016,20161001,0.022223544
8/11/2016,20161001,0.003771974
9/11/2016,20161001,0.011077021
10/11/2016,20161001,0.001950746
11/11/2016,20161001,-0.00139795
14/11/2016,20161001,-0.000115503
15/11/2016,20161001,0.007480798
16/11/2016,20161001,-0.001582264
17/11/2016,20161001,0.00467637
18/11/2016,20161001,-0.002386798
21/11/2016,20161001,0.007461401
22/11/2016,20161001,0.002165432
23/11/2016,20161001,0.000808025
25/11/2016,20161001,0.003914387
28/11/2016,20161001,-0.005254536
29/11/2016,20161001,0.001335293
30/11/2016,20161001,-0.002653404
1/12/2016,20161001,-0.003515529
2/12/2016,20161001,0.000397006
5/12/2016,20161001,0.005821305
6/12/2016,20161001,0.003410888
7/12/2016,20161001,0.013163242
8/12/2016,20161001,0.002159343
9/12/2016,20161001,0.005938985
12/12/2016,20161001,-0.001137435
13/12/2016,20161001,0.006539775
14/12/2016,20161001,-0.008117172
15/12/2016,20161001,0.003883228
16/12/2016,20161001,-0.001750623
19/12/2016,20161001,0.001975121
20/12/2016,20161001,0.003637512
21/12/2016,20161001,-0.002457361
22/12/2016,20161001,-0.001862974
23/12/2016,20161001,0.001251715
27/12/2016,20161001,0.002248373
28/12/2016,20161001,-0.008356529
29/12/2016,20161001,-0.000293305
30/12/2016,20161001,-0.00463705
3/01/2017,20170101,0.008486575
4/01/2017,20170101,0.005722274
5/01/2017,20170101,-0.00077067
6/01/2017,20170101,0.003516959
9/01/2017,20170101,-0.003548594
10/01/2017,20170101,0
11/01/2017,20170101,0.002829638
12/01/2017,20170101,-0.002144809
13/01/2017,20170101,0.001849841
17/01/2017,20170101,-0.002967503
18/01/2017,20170101,0.001763754
19/01/2017,20170101,-0.003609309
20/01/2017,20170101,0.003366238
23/01/2017,20170101,-0.002690125
24/01/2017,20170101,0.006564594
25/01/2017,20170101,0.008026091
26/01/2017,20170101,-0.000735384
27/01/2017,20170101,-0.000866464
30/01/2017,20170101,-0.006009543
31/01/2017,20170101,-0.000889905
1/02/2017,20170101,0.000298364
2/02/2017,20170101,0.000570309
3/02/2017,20170101,0.007264758
6/02/2017,20170101,-0.002115357
7/02/2017,20170101,0.000226829
8/02/2017,20170101,0.000693322
9/02/2017,20170101,0.005752546
10/02/2017,20170101,0.00356605
13/02/2017,20170101,0.005245845
14/02/2017,20170101,0.004007335
15/02/2017,20170101,0.004992309
16/02/2017,20170101,-0.000864118
17/02/2017,20170101,0.001678556
21/02/2017,20170101,0.006048066
22/02/2017,20170101,-0.0010822
23/02/2017,20170101,0.000418987
24/02/2017,20170101,0.001493364
27/02/2017,20170101,0.001017983
28/02/2017,20170101,-0.002578376
1/03/2017,20170101,0.013673855
2/03/2017,20170101,-0.00585988
3/03/2017,20170101,0.000503877
6/03/2017,20170101,-0.003277241
7/03/2017,20170101,-0.002913374
8/03/2017,20170101,-0.002284216
9/03/2017,20170101,0.000799895
10/03/2017,20170101,0.00326867
13/03/2017,20170101,0.000366633
14/03/2017,20170101,-0.003379027
15/03/2017,20170101,0.008374753
