Date,S&P Return
2015-09-16,0.008705414
2015-09-17,-0.00256106
2015-09-18,-0.016164166
2015-09-21,0.004565784
2015-09-22,-0.01231843
2015-09-23,-0.002048643
2015-09-24,-0.003362985
2015-09-25,-0.000465793
2015-09-28,-0.02566609
2015-09-29,0.001232853
2015-09-30,0.019075556
2015-10-01,0.001973884
2015-10-02,0.014315289
2015-10-05,0.018289841
2015-10-06,-0.003588236
2015-10-07,0.008035634
2015-10-08,0.008818436
2015-10-09,0.000725111
2015-10-12,0.001275477
2015-10-13,-0.006825424
2015-10-14,-0.004716274
2015-10-15,0.014852774
2015-10-16,0.004570474
2015-10-19,0.000270546
2015-10-20,-0.00142109
2015-10-21,-0.005825415
2015-10-22,0.016627572
2015-10-23,0.011030344
2015-10-26,-0.0019131
2015-10-27,-0.002554119
2015-10-28,0.011840033
2015-10-29,-0.000449774
2015-10-30,-0.004809877
2015-11-02,0.011873817
2015-11-03,0.002728067
2015-11-04,-0.003545367
2015-11-05,-0.001132148
2015-11-06,-0.000347622
2015-11-09,-0.009822729
2015-11-10,0.001510595
2015-11-11,-0.003228086
2015-11-12,-0.013990375
2015-11-13,-0.011207365
2015-11-16,0.014903265
2015-11-17,-0.001339379
2015-11-18,0.016162452
2015-11-19,-0.001123109
2015-11-20,0.003810196
2015-11-23,-0.001234861
2015-11-24,0.001221996
2015-11-25,-0.000129133
2015-11-27,0.000593618
2015-11-30,-0.004640997
2015-12-01,0.010680574
2015-12-02,-0.010995693
2015-12-03,-0.014373527
2015-12-04,0.020525669
2015-12-07,-0.006989503
2015-12-08,-0.006489901
2015-12-09,-0.007738985
2015-12-10,0.002251387
2015-12-11,-0.019422767
2015-12-14,0.00475556
2015-12-15,0.010618561
2015-12-16,0.014514969
2015-12-17,-0.015040521
2015-12-18,-0.01779722
2015-12-21,0.007778402
2015-12-22,0.008816736
2015-12-23,0.012418068
2015-12-24,-0.001598636
2015-12-28,-0.00217856
2015-12-29,0.010629763
2015-12-30,-0.007217229
2015-12-31,-0.009411913
2016-01-04,-0.015303731
2016-01-05,0.002012226
2016-01-06,-0.013115397
2016-01-07,-0.023700443
2016-01-08,-0.010838375
2016-01-11,0.000853272
2016-01-12,0.007802799
2016-01-13,-0.024965453
2016-01-14,0.016695906
2016-01-15,-0.021599098
2016-01-19,0.000531822
2016-01-20,-0.011693855
2016-01-21,0.005195438
2016-01-22,0.020283701
2016-01-25,-0.015637982
2016-01-26,0.014144336
2016-01-27,-0.010863484
2016-01-28,0.005528577
2016-01-29,0.024760217
2016-02-01,-0.000443236
2016-02-02,-0.018743091
2016-02-03,0.004992039
2016-02-04,0.001526733
2016-02-05,-0.018481246
2016-02-08,-0.014153936
2016-02-09,-0.00066362
2016-02-10,-0.000188951
2016-02-11,-0.012301162
2016-02-12,0.019518049
2016-02-16,0.016516654
2016-02-17,0.016480439
2016-02-18,-0.004665714
2016-02-19,-2.60E-05
2016-02-22,0.014454197
2016-02-23,-0.012454372
2016-02-24,0.004439787
2016-02-25,0.011348275
2016-02-26,-0.001870114
2016-02-29,-0.008120977
2016-03-01,0.023868792
2016-03-02,0.004094308
2016-03-03,0.003498741
2016-03-04,0.003305892
2016-03-07,0.000885014
2016-03-08,-0.011240109
2016-03-09,0.005052393
2016-03-10,0.000155805
2016-03-11,0.0163955
2016-03-14,-0.001260973
2016-03-15,-0.001836942
2016-03-16,0.005600352
2016-03-17,0.006595236
2016-03-18,0.004405644
2016-03-21,0.000985577
2016-03-22,-0.000877388
2016-03-23,-0.006386032
2016-03-24,-0.000378071
2016-03-28,0.000545256
2016-03-29,0.008816652
2016-03-30,0.004350315
2016-03-31,-0.002039759
2016-04-01,0.006330915
2016-04-04,-0.003208322
2016-04-05,-0.010144492
